period_type,period_value,field_name,total_records_n,missing_records_n,non_missing_records_n,missing_pct
crashFinancialYear,2014/2015,minorInjuryCount,30608,0,30608,0
crashFinancialYear,2014/2015,seriousInjuryCount,30608,0,30608,0
crashFinancialYear,2014/2015,speedLimit,30608,0,30608,0
crashFinancialYear,2014/2015,tlaId,30608,0,30608,0
crashFinancialYear,2014/2015,tlaName,30608,0,30608,0
crashFinancialYear,2015/2016,NumberOfLanes,34499,467,34032,1.3537
crashFinancialYear,2015/2016,region,34499,112,34387,0.3246
crashFinancialYear,2015/2016,directionRoleDescription,34499,10,34489,0.029
crashFinancialYear,2015/2016,crashLocation2,34499,2,34497,0.0058
crashFinancialYear,2015/2016,speedLimit,34499,2,34497,0.0058
crashFinancialYear,2015/2016,areaUnitID,34499,0,34499,0
crashFinancialYear,2015/2016,fatalCount,34499,0,34499,0
crashFinancialYear,2015/2016,meshblockId,34499,0,34499,0
crashFinancialYear,2015/2016,minorInjuryCount,34499,0,34499,0
crashFinancialYear,2015/2016,seriousInjuryCount,34499,0,34499,0
crashFinancialYear,2015/2016,tlaId,34499,0,34499,0
crashFinancialYear,2015/2016,tlaName,34499,0,34499,0
crashFinancialYear,2016/2017,region,38894,156,38738,0.4011
crashFinancialYear,2016/2017,NumberOfLanes,38894,93,38801,0.2391
crashFinancialYear,2016/2017,crashLocation2,38894,5,38889,0.0129
crashFinancialYear,2016/2017,directionRoleDescription,38894,5,38889,0.0129
crashFinancialYear,2016/2017,areaUnitID,38894,0,38894,0
crashFinancialYear,2016/2017,fatalCount,38894,0,38894,0
crashFinancialYear,2016/2017,meshblockId,38894,0,38894,0
crashFinancialYear,2016/2017,minorInjuryCount,38894,0,38894,0
crashFinancialYear,2016/2017,seriousInjuryCount,38894,0,38894,0
crashFinancialYear,2016/2017,speedLimit,38894,0,38894,0
crashFinancialYear,2016/2017,tlaId,38894,0,38894,0
crashFinancialYear,2016/2017,tlaName,38894,0,38894,0
crashFinancialYear,2017/2018,NumberOfLanes,39585,187,39398,0.4724
